Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
Datejust 36,126234,Automatic,Steel,Steel,2024,New,Male,20405,400,Calibre24 Pty. Ltd.,3135,Green,None,126234,Unknown,Yes,Yes,Australia,East Perth
Submariner Date,16610,Automatic,Steel,Steel,2001,Used,Male,13750,90,Dovi & Co,3135,Black,None,16610,Very good,Yes,Yes,Australia,Melbourne
Sky-Dweller,326934,Automatic,Steel,Steel,2021,Used,Male,22888,880,HOUR VAULT,3135,White,None,326934,Good,Yes,Yes,Australia,Sydney
Oyster Perpetual 34,114200,Automatic,Steel,Steel,2010,Used,Male,7500,100,The Watch Business,3130,White,Arabic,114200,Good,No,Yes,Australia,Sydney
Datejust 36,1603,Automatic,Steel,Steel,1973,Used,Male,5990,0,Classic Time Club,1570,Silver,None,1603,Good,No,Yes,Australia,Sydney Nsw
Sky-Dweller,326935,Automatic,Rose gold,Rose gold,2015,Used,Male,72000,0,Unknown,Unknown,Brown,Roman,326935,Very good,Yes,Yes,Australia,New South Wales
Submariner,114060,Automatic,Steel,Steel,2014,Used,Male,16335,200,The Smiling Second,3130,Black,None,114060,Very good,Yes,Yes,Australia,Melbourne
Submariner Date,16610,Automatic,Steel,Steel,2000,Used,Male,12978,218,Watches to Watch,3135,Black,None,16610,Good,No,Yes,Denmark,Aalborg
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2022,Used,Male,22437,0,Unknown,3186,Black,None,126710BLNR,Very good,Yes,Yes,India,Noida
Oyster Perpetual 36,1018,Automatic,Steel,Leather,1967,Used,Male,5650,0,Watch Vault,Unknown,,,1018,Fair,No,Yes,Australia,Mount Eliza
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2024,Used,Male,13200,400,Calibre24 Pty. Ltd.,3135,Silver,None,124300,Very good,Yes,Yes,Australia,East Perth
Lady-Datejust,No Reference,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,34800,0,Unknown,Unknown,,,279381RBR,Unknown,No,No,Unknown,Unknown
Lady-Datejust,279175,Automatic,Rose gold,Rose gold,2017,Used,Female,39995,90,Dovi & Co,Unknown,Gold,None,279175,Very good,Yes,Yes,Australia,Melbourne
Daytona,116515ln,Automatic,Rose gold,Rubber,2022,Used,Male,53888,880,HOUR VAULT,4130,Black,None,116515ln,Very good,Yes,Yes,Australia,Sydney
Explorer II,16570,Automatic,Steel,Steel,2005,Used,Male,11500,100,The Watch Business,3185,Black,None,16570,Good,Yes,Yes,Australia,Sydney
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,Unknown,Used,Male,20500,179,Chrono Forever,3135,Gold,,126233,Fair,No,Yes,Australia,Parramatta
Submariner Date,116613LN,Automatic,Gold/Steel,Gold/Steel,2014,Used,Male,19999,100,DixonWatchCo,3135,Black,None,116613LN,Good,Yes,Yes,Australia,Sydney
Sea-Dweller 4000,116600,Automatic,Unknown,Unknown,Unknown,nan,Unknown,27500,0,Unknown,Unknown,,,4000,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Date,1500,Automatic,Steel,Steel,1970,Used,Male,6567,30,Precious Elements Pty Ltd,3035,Blue,None,1500,Good,Yes,Yes,Australia,Sydney
Submariner Date,16613,Automatic,Gold/Steel,Gold/Steel,1988,Like new & unworn,Male,13943,0,Unknown,Unknown,Blue,None,16613,Unknown,Yes,Yes,Mexico,Hacienda De Las Palmas
Explorer I,124270,Automatic,Steel,Steel,2022,Used,Male,11250,150,Harbour Time,Unknown,Black,Arabic,124270,Fair,No,Yes,Australia,New South Wales
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2019,Used,Male,33550,400,Calibre24 Pty. Ltd.,3186,Black,None,126710BLRO,Very good,Yes,Yes,Australia,East Perth
Datejust 31,68273,Automatic,Gold/Steel,Gold/Steel,1991,Used,Female,10750,90,Dovi & Co,2135,Champagne,None,68273,Very good,Yes,Yes,Australia,Melbourne
Daytona,116505,Automatic,Rose gold,Rose gold,2022,New,Male,155888,880,HOUR VAULT,4030,White,None,116505,Unknown,Yes,Yes,Australia,Sydney
Yacht-Master II,116681,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,31500,0,Hailwood Peters Watches,Unknown,White,None,116681,Unknown,No,No,Unknown,Unknown
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,2000,Used,Male,9500,100,The Watch Business,3135,Champagne,None,16233,Good,No,Yes,Australia,Sydney
Yacht-Master 40,126622,Automatic,Steel,Steel,2023,Used,Male,21752,0,WM Time LLC,3235,Blue,None,126622,Very good,Yes,Yes,Unknown,"Pennsylvania, Fort Washington"
Sea-Dweller,126600,Automatic,Steel,Steel,2018,Used,Male,20500,100,DixonWatchCo,3135,Black,None,126600,Very good,Yes,Yes,Australia,Sydney
Daytona,126515LN,Automatic,Rose gold,Rubber,2024,New,Male,62888,880,HOUR VAULT,Unknown,Black,None,126515LN,Unknown,Yes,Yes,Australia,Sydney
GMT-Master II,116710BLNR,Automatic,Steel,Steel,2018,Like new & unworn,Male,25629,0,Unknown,Unknown,,,116710BLNR,Unknown,Yes,Yes,Singapore,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2024,Like new & unworn,Male,15973,0,Unknown,Unknown,Unknown,,126300,Unknown,Yes,Yes,Australia,Clayton
GMT-Master II,16710,Automatic,Steel,Steel,2001,Used,Male,18000,150,Harbour Time,3185,Black,None,16710,Fair,Yes,Yes,Australia,New South Wales
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2024,New,Male,16495,400,Calibre24 Pty. Ltd.,3135,Green,None,124300,Unknown,Yes,Yes,Australia,East Perth
Lady-Datejust,178273,Automatic,Gold/Steel,Gold/Steel,2015,Used,Female,19000,90,Dovi & Co,Unknown,Silver,,178273,Very good,Yes,Yes,Australia,Melbourne
Datejust 41,126334,Automatic,White gold,Steel,2023,Like new & unworn,Male,26850,300,TIME KEEPER BOUTIQUE AU,3135,Black,None,126334,Unknown,Yes,Yes,Australia,Sydney
Daytona,116520,Automatic,Steel,Steel,2013,Used,Male,29900,100,The Watch Business,4130,Black,None,116520,Good,No,No,Australia,Sydney
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,1991,Used,Male,11314,0,Unknown,Unknown,,,16233,Very good,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,White gold,Steel,2024,New,Male,22962,0,Exclusive Watches,3135,Blue,None,126334,Unknown,Yes,Yes,Germany,Stuttgart
Submariner Date,16613,Automatic,Gold/Steel,Gold/Steel,2004,Used,Male,15250,100,DixonWatchCo,3135,Blue,None,16613,Good,No,Yes,Australia,Sydney
Datejust 41,126300,Automatic,Steel,Steel,2024,New,Male,15880,880,HOUR VAULT,3135,Grey,None,126300,Unknown,Yes,Yes,Australia,Sydney
Submariner Date,126610LN,Automatic,Steel,Steel,2023,Used,Male,18925,0,Unknown,3135,Black,None,126610LN,Very good,Yes,Yes,Unknown,Unknown
Datejust 36,116234,Automatic,Steel,Steel,2014,Used,Male,14000,150,Harbour Time,3135,Black,,116234,Good,Yes,Yes,Australia,New South Wales
Yacht-Master 40,116621,Automatic,Gold/Steel,Gold/Steel,2024,Used,Male,28868,0,Unknown,Unknown,,,116621,Very good,Yes,Yes,Italy,Imperia
Datejust 41,126334,Automatic,Steel,Steel,2024,New,Male,24195,400,Calibre24 Pty. Ltd.,3135,Grey,None,126334,Unknown,Yes,Yes,Australia,East Perth
GMT-Master,16753,Automatic,Gold/Steel,Gold/Steel,1987,Used,Male,19750,90,Dovi & Co,Unknown,Brown,None,16753,Very good,Yes,Yes,Australia,Melbourne
Sky-Dweller,326934,Automatic,Steel,Steel,2020,Used,Male,31850,29,Swiss Link Ptd Ltd,3135,Blue,None,326934,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Submariner Date,116613LB,Automatic,Gold/Steel,Gold/Steel,2016,Used,Male,23800,100,The Watch Business,3135,Blue,None,116613LB,Very good,Yes,Yes,Australia,Sydney
Datejust 41,126300,Automatic,Steel,Steel,2024,New,Male,16500,129,SwissWatchGallery,3135,Unknown,None,126300,Unknown,Yes,Yes,Australia,Sydney
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,2021,New,Male,23579,151,Watches OFF 5TH,3135,Gold,,126233,Unknown,Yes,Yes,Unknown,"New York, New York"
Day-Date 40,228238,Automatic,Yellow gold,Yellow gold,2024,New,Male,94000,100,Just Watch It Pty Ltd,3135,Green,,228238,Unknown,Yes,Yes,Australia,Bondi Junction
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,New,Male,30782,1664,BM SECOND HAND,3186,Black,None,126710GRNR,Unknown,Yes,Yes,Monaco,Monaco
GMT-Master II,16710,Automatic,Steel,Steel,Unknown,nan,Male,17500,0,Hailwood Peters Watches,3185,Black,None,16710,Unknown,No,No,Unknown,Unknown
Submariner Date,126610LN,Automatic,Steel,Steel,2019,Used,Male,19038,120,EMINERE,3135,Black,None,126610LN,Very good,Yes,Yes,Australia,Melbourne
Daytona,126518ln,Automatic,Yellow gold,Rubber,2024,New,Male,66550,400,Calibre24 Pty. Ltd.,4030,White,None,126518ln,Unknown,Yes,Yes,Australia,East Perth
Lady-Datejust,179161,Automatic,Gold/Steel,Gold/Steel,Unknown,Used,Female,14195,0,Unknown,Unknown,Pink,Roman,179161,Very good,Yes,Yes,Germany,Solingen
Submariner Date,116619LB,Automatic,White gold,White gold,Unknown,nan,Male,50599,460,"Glint Co., Ltd",3135,Blue,None,116619LB,Unknown,No,No,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,2014,Used,Male,33000,100,DixonWatchCo,4130,White,None,116520,Very good,Yes,Yes,Australia,Sydney
Sky-Dweller,326934,Automatic,Steel,Steel,2018,Used,Male,29900,100,The Watch Business,3135,Blue,None,326934,Very good,Yes,Yes,Australia,Sydney
Explorer II,226570,Automatic,Steel,Steel,2024,Like new & unworn,Male,16500,129,SwissWatchGallery,3235,Black,None,226570,Unknown,No,Yes,Australia,Sydney
Submariner Date,126610LN,Automatic,Steel,Steel,2024,New,Male,24500,100,Just Watch It Pty Ltd,3135,Black,None,126610LN,Unknown,Yes,Yes,Australia,Bondi Junction
Submariner Date,16610LV,Automatic,Steel,Steel,2009,Used,Male,23120,300,EMINERE,3135,Black,None,16610LV,Very good,Yes,Yes,Australia,Melbourne
Submariner Date,1680,Automatic,Steel,Steel,1979,Used,Male,17500,100,DixonWatchCo,1570,Black,None,1680,Fair,No,Yes,Australia,Sydney
Datejust 36,126234,Automatic,Gold/Steel,Steel,2019,Like new & unworn,Male,19850,300,TIME KEEPER BOUTIQUE AU,3135,Blue,None,126234,Unknown,Yes,Yes,Australia,Sydney
GMT-Master,16758,Automatic,Yellow gold,Yellow gold,1984,Used,Male,55800,250,Professional Timepieces,Unknown,Brown,None,16758,Good,Yes,Yes,Australia,Varsity Lakes
Daytona,116523,Automatic,Gold/Steel,Gold/Steel,2004,Used,Male,30000,90,Dovi & Co,4130,White,None,116523,Very good,Yes,Yes,Australia,Melbourne
Datejust 41,126331,Automatic,Rose gold,Gold/Steel,2021,New,Male,23800,179,Chrono Forever,3235,Grey,Roman,No Reference,Unknown,Yes,Yes,Australia,Parramatta
Datejust 41,126300,Automatic,Steel,Steel,2024,New,Male,16990,129,SwissWatchGallery,3135,Green,None,126300,Unknown,Yes,Yes,Australia,Sydney
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2024,Used,Male,26950,0,Watch Vault,3135,Turquoise,None,124300,Very good,Yes,Yes,Australia,Mount Eliza
Lady-Datejust,69173,Automatic,Gold/Steel,Gold/Steel,Unknown,Used,Female,12500,0,MARTHA & KOZMA,2135,Champagne,None,69173,Very good,Yes,Yes,Australia,Bexley
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,25350,300,TIME KEEPER BOUTIQUE AU,3135,Champagne,,126233,Unknown,No,No,Unknown,Unknown
Datejust 36,16234,Automatic,Steel,Steel,1994,Used,Male,10150,998,Kaiser Watch Trading GmbH,3135,Silver,None,16234,Very good,No,No,Unknown,Unknown
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,2019,Used,Male,24000,90,Dovi & Co,3135,Black,None,126333,Very good,Yes,Yes,Australia,Melbourne
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2020,Used,Male,32759,250,Professional Timepieces,3186,Black,None,126710BLRO,Very good,Yes,Yes,Australia,Varsity Lakes
Datejust 41,126300,Automatic,Steel,Steel,2024,New,Male,16500,129,SwissWatchGallery,3135,Blue,None,126300,Unknown,Yes,Yes,Australia,Sydney
Datejust 36,116234,Automatic,Steel,Steel,2006,Used,Male,12923,304,Hammatime LLC,3135,Black,,116234,Very good,Yes,Yes,Unknown,"Virginia, Henrico"
Daytona,116523-0041,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,30000,0,Hailwood Peters Watches,4130,Unknown,,116523,Unknown,No,No,Unknown,Unknown
Submariner Date,126610lv,Automatic,Steel,Steel,Unknown,nan,Male,24792,165,OTWG,3135,Black,None,126610lv,Unknown,No,No,Unknown,Unknown
Datejust 36,126200,Automatic,Steel,Steel,Unknown,nan,Male,14559,0,KronologY,3135,Green,None,126200,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,25300,300,TIME KEEPER BOUTIQUE AU,Unknown,,,126334,Unknown,No,No,Unknown,Unknown
Submariner Date,116618LN,Automatic,Yellow gold,Yellow gold,2015,Used,Male,48169,0,Watchpanda,3135,Black,None,116618LN,Good,Yes,Yes,Germany,Eislingen
GMT-Master II,116710BLNR,Automatic,Steel,Steel,2018,Used,Male,23500,100,The Watch Business,3186,Black,None,116710BLNR,Good,Yes,Yes,Australia,Sydney
Day-Date 36,18238,Automatic,Yellow gold,Yellow gold,1995,Like new & unworn,Male,32000,90,Dovi & Co,3055,Blue,None,18238,Unknown,Yes,Yes,Australia,Melbourne
Day-Date 40,228396TBR,Automatic,Platinum,Platinum,Unknown,nan,Male,200000,300,Watch Exchange,Unknown,Blue,,228396TBR,Unknown,No,No,Unknown,Unknown
Rolex 5005,121444,Manual winding,Yellow gold,Leather,1952,Used,Female,4750,35,BRUS AUSTRALIA PTY LTD,Unknown,,,No Reference,Good,No,No,Unknown,Unknown
Submariner,124060,Automatic,Steel,Steel,2024,Like new & unworn,Male,21700,29,Swiss Link Ptd Ltd,3130,Black,None,124060,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
Day-Date 36,18038,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,17350,0,Hailwood Peters Watches,3055,Unknown,,18038,Unknown,No,No,Unknown,Unknown
Sky-Dweller,336934,Automatic,Steel,Steel,2024,New,Male,46500,100,Just Watch It Pty Ltd,9002,Green,None,336934,Unknown,Yes,Yes,Australia,Bondi Junction
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2019,Used,Male,28306,0,Unknown,4130,Black,None,116503,Very good,Yes,Yes,Thailand,Bang Lamung
Submariner Date,116610LV,Automatic,Steel,Steel,Unknown,nan,Male,29434,333,Chrono World,3135,Green,None,116610LV,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 39,114300,Automatic,Steel,Steel,2017,Like new & unworn,Male,11000,90,Dovi & Co,3132,Grey,None,114300,Unknown,Yes,Yes,Australia,Melbourne
Datejust 31,278278,Automatic,Yellow gold,Yellow gold,Unknown,nan,Female,53500,300,TIME KEEPER BOUTIQUE AU,Unknown,Green,,278278,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,Like new & unworn,Male,28952,1497,Elbwatches,3186,Black,None,126710GRNR,Unknown,Yes,Yes,Germany,Niedersachsen - Buchholz In Der Nordheide
Sea-Dweller,126603,Automatic,Gold/Steel,Gold/Steel,2021,Used,Male,28650,29,Swiss Link Ptd Ltd,3235,Black,None,126603,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Daytona,126509-0001,Automatic,White gold,White gold,2023,nan,Male,73000,0,Hailwood Peters Watches,Unknown,Unknown,,2023,Unknown,No,No,Unknown,Unknown
Submariner Date,116613LB,Automatic,Gold/Steel,Gold/Steel,2011,Used,Male,21000,100,DixonWatchCo,3135,Blue,None,116613LB,Good,Yes,Yes,Australia,Sydney
Lady-Datejust,69173,Automatic,Gold/Steel,Gold/Steel,Unknown,Used,Female,6009,0,Unknown,Unknown,,,69173,Good,No,Yes,Unknown,"Alabama, Fort Mill"
Datejust 36,126233,Automatic,Steel,Gold/Steel,2024,New,Male,24995,129,SwissWatchGallery,3135,Gold,,126233,Unknown,Yes,Yes,Australia,Sydney
Daytona,116518LN,Automatic,Yellow gold,Rubber,2020,Used,Male,59235,0,WM Time LLC,4130,Black,None,116518LN,Very good,Yes,Yes,Unknown,"Pennsylvania, Fort Washington"
Air King,126900,Automatic,Steel,Steel,2024,New,Male,14500,100,The Watch Business,3135,Black,Arabic,126900,Unknown,Yes,Yes,Australia,Sydney
Daytona,116500LN,Automatic,Steel,Steel,2021,Used,Male,48070,200,The Smiling Second,4130,White,None,116500LN,Very good,Yes,Yes,Australia,Melbourne
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2022,Like new & unworn,Male,33888,100,You only Live Once Luxury Watches,3135,Brown,None,126331,Unknown,Yes,Yes,Australia,Sydney
Yacht-Master 42,226659,Automatic,White gold,Rubber,2022,New,Male,51721,151,Watches OFF 5TH,3035,Black,None,226659,Unknown,Yes,Yes,Unknown,"New York, New York"
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2018,Used,Male,28286,1497,Elbwatches,3285,Black,None,126711CHNR,Very good,Yes,Yes,Germany,Niedersachsen - Buchholz In Der Nordheide
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,2022,Used,Male,25500,29,Swiss Link Ptd Ltd,3135,Black,None,126333,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Submariner Date,126610LN,Automatic,Steel,Steel,2024,New,Male,22462,0,Exclusive Watches,3135,Black,None,126610LN,Unknown,Yes,Yes,Germany,Stuttgart
Daytona,126515LN,Automatic,Rose gold,Rubber,2024,New,Male,69500,100,Just Watch It Pty Ltd,Unknown,Pink,None,126515LN,Unknown,Yes,Yes,Australia,Bondi Junction
Datejust 41,126334,Automatic,White gold,Steel,2021,Used,Male,19250,120,EMINERE,3135,Blue,None,126334,Very good,Yes,Yes,Australia,Melbourne
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,2023,Like new & unworn,Male,25790,0,Unknown,Unknown,,,126333,Unknown,Yes,Yes,Italy,Fermignano
Datejust 41,126300,Automatic,Steel,Steel,2024,New,Male,15500,100,The Watch Business,3135,Blue,None,126300,Unknown,Yes,Yes,Australia,Sydney
Daytona,126519LN-0006,Automatic,White gold,Rubber,2024,New,Male,69230,100,Just Watch It Pty Ltd,4030,Black,None,126519LN-0006,Unknown,Yes,Yes,Australia,Bondi Junction
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2022,Used,Male,12950,0,MARTHA & KOZMA,3135,Silver,None,124300,Very good,Yes,Yes,Australia,Bexley
Submariner Date,116610LV,Automatic,Steel,Steel,2016,Used,Male,29784,416,Uhren Struck,3135,Green,None,116610LV,Very good,Yes,Yes,Germany,Essen
Day-Date 40,228206,Automatic,Platinum,Platinum,2021,Used,Male,104500,29,Swiss Link Ptd Ltd,3255,Blue,Roman,228206,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Yacht-Master II,116681,Automatic,Gold/Steel,Gold/Steel,2022,Used,Male,38000,180,WatchCraze,Unknown,Unknown,,116681,Very good,Yes,Yes,Australia,Sydney
Submariner Date,16610,Automatic,Steel,Steel,1999,Used,Male,14642,218,Watches to Watch,3135,Black,None,16610,Good,No,No,Unknown,Unknown
Submariner Date,126610lv,Automatic,Steel,Steel,Unknown,nan,Male,24875,498,Pulzo GmbH & Co KG,3135,Black,None,126610lv,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2023,New,Male,18150,400,Calibre24 Pty. Ltd.,3135,Green,None,126300,Unknown,Yes,Yes,Australia,East Perth
GMT-Master II,116710LN,Automatic,Steel,Steel,2014,Used,Male,18939,304,Hammatime LLC,3186,Black,None,116710LN,Very good,Yes,Yes,Unknown,"Virginia, Henrico"
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,33194,0,Juwelier Kremer Emmen,4130,Unknown,,116503,Unknown,No,No,Unknown,Unknown
Datejust 36,16018,Automatic,Yellow gold,Leather,1984,Used,Male,15000,100,DixonWatchCo,Unknown,Silver,None,16018,Fair,Yes,Yes,Australia,Sydney
Yacht-Master 40,16623,Automatic,Gold/Steel,Gold/Steel,2024,nan,Unknown,19135,832,Rhino Exclusive GmbH,3135,Blue,None,16623,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2024,New,Male,15000,29,Swiss Link Ptd Ltd,3135,Blue,None,124300,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
Daytona,116520,Automatic,Steel,Steel,Unknown,nan,Male,36589,333,Chrono World,4130,Black,None,116520,Unknown,No,No,Unknown,Unknown
Submariner Date,126610LN,Automatic,Steel,Steel,Unknown,nan,Male,22046,0,Juwelier Kohler GmbH,3135,Black,None,126610LN,Unknown,No,No,Unknown,Unknown
Explorer II,16570,Automatic,Steel,Steel,1998,Used,Male,13888,150,Harbour Time,3185,White,None,16570,Very good,Yes,Yes,Australia,New South Wales
Submariner Date,16610,Automatic,Steel,Steel,2006,Used,Male,18150,400,Calibre24 Pty. Ltd.,3135,Black,None,16610,Good,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2022,Used,Male,13950,0,MARTHA & KOZMA,3135,White,None,126300,Very good,No,Yes,Australia,Bexley
Daytona,6263,Manual winding,Steel,Steel,1976,Used,Male,189999,99,LUXE ICON,Unknown,Silver,None,6263,Good,Yes,Yes,Australia,St Kilda
Daytona,116506,Automatic,Platinum,Platinum,2014,Used,Male,135000,100,DixonWatchCo,4130,Blue,None,116506,Good,Yes,Yes,Australia,Sydney
Daytona,116523,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,28120,832,Rhino Exclusive GmbH,4130,White,None,116523,Unknown,No,No,Unknown,Unknown
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,2022,Used,Male,23900,180,WatchCraze,3135,Silver,,126233,Very good,Yes,Yes,Australia,Sydney
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,Like new & unworn,Male,30782,1497,Elbwatches,3186,Black,None,126710GRNR,Unknown,Yes,Yes,Germany,Niedersachsen - Buchholz In Der Nordheide
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2023,Used,Male,14600,29,Swiss Link Ptd Ltd,3135,Blue,None,124300,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Submariner,14060M,Automatic,Steel,Steel,2007,Used,Male,15400,150,Harbour Time,3130,Black,None,14060M,Good,Yes,Yes,Australia,New South Wales
1908,52509,Automatic,White gold,White gold,1908,nan,Unknown,43450,400,Calibre24 Pty. Ltd.,Unknown,Black,Arabic,1908,Unknown,No,No,Unknown,Unknown
Daytona,116500LN,Automatic,Steel,Steel,2020,Used,Male,47465,200,The Smiling Second,4130,White,None,116500LN,Very good,No,No,Australia,Melbourne
Daytona,116520,Automatic,Steel,Steel,2013,Used,Male,33999,0,WM Time LLC,4130,White,None,116520,Very good,Yes,Yes,Unknown,"Pennsylvania, Fort Washington"
Submariner Date,116613LB,Automatic,Gold/Steel,Gold/Steel,2016,Used,Male,22012,608,My Watch LLC,3135,Blue,None,116613LB,Very good,Yes,Yes,Unknown,"Michigan, Oak Park, Mi"
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2024,Like new & unworn,Male,29101,0,Lifestyle Watches,3186,Black,None,126710BLNR,Unknown,Yes,Yes,Germany,Kaufbeuren
Yacht-Master,168623,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,12400,300,TIME KEEPER BOUTIQUE AU,Unknown,Blue,None,168623,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2023,Like new & unworn,Male,27204,0,Juwelier Kohler GmbH,3186,Black,None,126710BLNR,Unknown,Yes,Yes,Germany,München
Day-Date 36,128235,Automatic,Rose gold,Rose gold,2021,Used,Male,72888,29,Swiss Link Ptd Ltd,3135,Gold,None,128235,Very good,Yes,Yes,Australia,"Sydney, Nsw"
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,2019,Used,Male,19250,150,Harbour Time,3235,Black,None,126660,Very good,Yes,Yes,Australia,New South Wales
Explorer I,224270,Automatic,Steel,Steel,2024,Like new & unworn,Male,15300,100,The Watch Business,3132,Black,Arabic,224270,Unknown,Yes,Yes,Australia,Sydney
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2023,Like new & unworn,Male,27371,0,Exclusive Watches,3186,Black,None,126710BLNR,Unknown,Yes,Yes,Germany,Stuttgart
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2022,Used,Male,82500,0,Watch Vault,Unknown,,,228235,Very good,Yes,Yes,Australia,Mount Eliza
Day-Date II,218235,Automatic,Rose gold,Rose gold,Unknown,nan,Male,75600,0,Hailwood Peters Watches,Unknown,Unknown,,218235,Unknown,No,No,Unknown,Unknown
GMT-Master,1675,Automatic,Steel,Steel,1969,Used,Male,16800,100,DixonWatchCo,Unknown,Black,None,1675,Fair,No,Yes,Australia,Sydney
Day-Date 36,118388,Automatic,Yellow gold,Yellow gold,1997,Used,Male,49915,0,Unknown,Unknown,Blue,None,118388,Very good,No,No,Unknown,Unknown
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,New,Male,29942,331,Xelor B.V.,3186,Black,None,126710GRNR,Unknown,Yes,Yes,Unknown,Amstelveen
Submariner Date,116610LN,Automatic,Steel,Steel,2017,Used,Male,19467,416,Uhren Struck,3135,Black,None,116610LN,Very good,No,No,Unknown,Unknown
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,29250,29,Swiss Link Ptd Ltd,3135,Black,,126233,Unknown,Yes,Yes,Australia,"Sydney, Nsw"
Oyster Perpetual 39,114300,Automatic,Steel,Steel,2019,Used,Male,10750,150,Harbour Time,3132,Black,None,114300,Very good,Yes,Yes,Australia,New South Wales
Submariner Date,116610LN,Automatic,Steel,Steel,2019,Like new & unworn,Male,19999,179,Chrono Forever,3135,Black,None,116610LN,Unknown,Yes,Yes,Australia,Parramatta
Day-Date 36,128238,Automatic,Yellow gold,Yellow gold,2023,Like new & unworn,Male,69051,0,Unknown,Unknown,,,128238,Unknown,Yes,Yes,Germany,Köln
Datejust 41,126300,Automatic,Steel,Steel,2022,Used,Male,13950,0,MARTHA & KOZMA,3135,White,None,126300,Very good,Yes,Yes,Australia,Bexley
Explorer II,216570,Automatic,Steel,Steel,2017,Used,Male,16205,300,Professional Timepieces,3187,White,None,216570,Very good,Yes,Yes,Australia,Varsity Lakes
Datejust 41,126334,Automatic,White gold,Steel,2024,New,Male,25000,100,Circle Red Watches,3135,Blue,None,126334,Unknown,Yes,Yes,Australia,New South Wales
Daytona,116515ln,Automatic,Rose gold,Rubber,2021,Used,Male,59200,180,WatchCraze,4130,Pink,None,116515ln,Very good,Yes,Yes,Australia,Sydney
Oyster,6427,Manual winding,Steel,Steel,1970,Used,Male,6888,100,DixonWatchCo,Unknown,Silver,None,6427,Good,Yes,Yes,Australia,Sydney
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2022,New,Male,68454,151,Watches OFF 5TH,3255,White,Roman,228235,Unknown,Yes,Yes,Unknown,"New York, New York"
