Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
Submariner Date,116613LB,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,23854,165,BQ Watches,3135,Blue,None,116613LB,Unknown,No,No,Unknown,Unknown
Submariner Date,126610lv,Automatic,Steel,Steel,2024,Used,Male,24624,0,Unique Watches by IB GmbH,3135,Black,None,126610lv,Very good,Yes,Yes,Austria,Wien
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2024,New,Male,38662,110,Swiss Gallery,3186,Black,None,126710BLRO,Unknown,Yes,Yes,Canada,Toronto
GMT-Master II,126720VTNR,Automatic,Steel,Steel,2024,New,Male,26393,0,Luxury Time Global,Unknown,Black,None,126720VTNR,Unknown,Yes,Yes,Unknown,Pennsylvania
Oyster Perpetual 36,126000,Automatic,Steel,Steel,Unknown,nan,Unknown,14296,102,GMT,Unknown,Green,,126000,Unknown,No,No,Japan,Tokyo
Sky-Dweller,336934,Automatic,Steel,Steel,2024,Used,Male,38022,0,"Time Reserved, LLC",9002,Green,None,336934,Very good,Yes,Yes,Unknown,"Maryland, Crofton"
Datejust 36,116234,Automatic,Steel,Steel,2006,Used,Male,13977,165,F.P. LUXURY WATCHES,3135,Blue,,116234,Very good,Yes,Yes,Italy,Saronno
Daytona,116509,Unknown,White gold,Unknown,Unknown,nan,Unknown,91628,29,Fine Timepieces,Unknown,,,116509,Unknown,No,No,Unknown,Unknown
Sky-Dweller,326938,Automatic,Yellow gold,Yellow gold,2019,Used,Male,65715,165,Amstel Watches,3135,Black,Arabic,326938,Very good,Yes,Yes,Unknown,Amsterdam
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,32934,151,Watches OFF 5TH,Unknown,Black,None,126711CHNR,Unknown,Yes,Yes,Unknown,"New York, New York"
Milgauss,116400GV,Automatic,Steel,Steel,Unknown,nan,Unknown,18178,243,Tarrytown Jewelers,Unknown,,,116400GV,Unknown,No,No,Unknown,"New York, Hartsdale"
Submariner Date,126610LN,Automatic,Steel,Steel,2023,New,Male,23655,151,Watches OFF 5TH,3135,Black,None,126610LN,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,126610LN,Automatic,Steel,Steel,2022,New,Male,23700,151,Watches OFF 5TH,3135,Black,None,126610LN,Unknown,Yes,Yes,Unknown,"New York, New York"
Sky-Dweller,336934,Automatic,Steel,Steel,2024,Like new & unworn,Male,34775,1497,Mutluoglu und Sargin GbR,9002,Blue,None,336934,Unknown,Yes,Yes,Germany,Köln
Day-Date 36,118235,Automatic,Rose gold,Rose gold,Unknown,nan,Male,50689,0,Trilogy Jewellers Limited,Unknown,Brown,,118235,Unknown,No,No,Unknown,Unknown
3130,No Reference,Unknown,Leather,Unknown,Unknown,nan,Unknown,10815,0,Unknown,Unknown,,,3130,Unknown,No,No,Unknown,Unknown
Daytona,116518,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,53078,416,Parker et Smith,4130,Blue,Arabic,116518,Unknown,No,No,Unknown,Unknown
Explorer I,124270,Automatic,Steel,Steel,2023,Used,Male,12063,499,Bonanno Gioielleria,Unknown,Black,Arabic,124270,Very good,Yes,Yes,Italy,Roma
Datejust 36,116234,Automatic,Steel,Steel,Unknown,nan,Male,13311,333,Orologi360,3135,Black,,116234,Unknown,No,No,Unknown,Unknown
Sea-Dweller 4000,116600,Automatic,Steel,Steel,2015,Used,Male,22130,148,Top Watches,3135,Black,None,4000,Very good,Yes,Yes,Italy,Brescia
Yacht-Master 40,16623,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,18301,333,Juwelier Burger,Unknown,,,16623,Unknown,No,No,Unknown,Unknown
Datejust 36,126231,Automatic,Rose gold,Gold/Steel,2023,Used,Male,25957,166,CHRONO.dk,3135,Grey,,126231,Very good,Yes,Yes,Denmark,Hellerup
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,19015,243,Tarrytown Jewelers,Unknown,Blue,,126334,Unknown,No,No,Unknown,Unknown
Day-Date 40,228238,Automatic,Yellow gold,Yellow gold,2016,Used,Male,69881,48,Luxury-Time,3135,Black,,228238,Very good,Yes,Yes,Germany,Hannover
Submariner Date,116610LV,Automatic,Steel,Steel,Unknown,nan,Male,31447,166,mostwantedwatches,3135,Green,None,116610LV,Unknown,No,No,Unknown,Unknown
Submariner Date,116610LV,Automatic,Steel,Steel,Unknown,Used,Male,30416,373,Tribeca Watch Inc,3135,Green,None,116610LV,Fair,Yes,Yes,Unknown,"New York, New York City"
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2021,New,Male,34091,0,Wilkinsons Jewellery & Watches,4130,White,None,116503,Unknown,Yes,Yes,United Kingdom,Fareham
